Monetary Policy Rate (%),"Consumer Price Index, All Items","USD Exchange Rate, monthly averages",Total Liquidity (M2+),Gold Price (Realised Gold Price),Return on Assets,Non Performing Loan Ratio,Capital Adequacy Ratio,Date,GDP_Real
16.0,84.1123,5.3235,86834.8,1490.6,4.319049812,17.26224601,18.8504912,2019-10-01,42455.33658
16.0,84.67459,5.3888,89750.1,1469.2,4.280542201,16.66464727,18.24641987,2019-11-01,42884.48190333333
16.0,84.91984,5.5377,92975.5,1480.1,4.15256053,14.26716344,17.48,2019-12-01,43313.62722666667
16.0,86.12437,5.5274,91907.4,1553.5,5.011223993,13.56653229,18.15,2020-01-01,43742.77255
16.0,86.47566,5.3194,91762.7,1601.8,4.870317043,13.7892347,18.33347623,2020-02-01,41737.28099
14.5,87.19369,5.3566,92905.1,1581.6,4.297329406,14.48880313,19.34657493,2020-03-01,39731.789430000004
14.5,90.0096,5.5153,94556.0,1687.7,3.870015928,14.96208862,19.11549176,2020-04-01,37726.29787
14.5,91.55479,5.6109,98540.0,1710.4,3.858712772,15.2141984,19.56995987,2020-05-01,38619.53895666667
14.5,92.46842,5.6427,100498.9,1728.0,4.133721241,15.65085252,19.46305158,2020-06-01,39512.78004333333
14.5,92.96651,5.6724,101564.1,1833.2,4.221215344,16.08417065,19.75302373,2020-07-01,40406.02113
14.5,92.62629,5.6815,102814.7,1915.5,4.229997705,15.46479111,19.21471226,2020-08-01,41698.04242666667
14.5,92.46427,5.6971,30338.05,1919.2,4.219654115,15.7702795,18.49071331,2020-09-01,42990.06372333333
14.5,92.64067,5.7054,112859.7,1897.9,4.23935295,15.31863452,18.29628258,2020-10-01,44282.08502
14.5,92.94066,5.712,116597.7,1860.4,4.238060223,15.3657747,18.33449106,2020-11-01,44671.40192
14.5,93.7744,5.7209,120479.1,1860.7,4.364611626,14.81537605,18.13293287,2020-12-01,45060.71882
14.5,94.6511,5.7739,117976.8,1861.2,4.944044063,14.74600675,18.82155878,2021-01-01,45450.03572
14.5,95.37414,5.7575,118467.5,1798.1,4.379240182,15.32067912,18.50533566,2021-02-01,43438.29654
14.5,96.20172,5.7275,119445.2,1728.1,4.702788637,15.48930379,21.01145152,2021-03-01,41426.55736
14.5,97.68126,5.7308,118933.8,1760.7,4.57179182,15.542644,21.84068782,2021-04-01,39414.81818
